,Actor,Movies
2403,Terry-Thomas,"['Robin Hood', ""It's a Mad, Mad, Mad, Mad World"", ""Blue Murder at St Trinian's"", ""Private's Progress"", ""I'm All Right Jack""]"
2404,Charles Rocket,"[""Fathers' Day"", 'Dumb & Dumber']"
2405,Mary Lynn Rajskub,"['Legally Blonde 2: Red, White & Blonde', 'Sweet Home Alabama', ""Dude, Where's My Car?""]"
2406,Ned Beatty,"['Network', 'Nashville', 'Rudy', '1941', 'Hopscotch', 'Silver Streak', 'Superman']"
2407,Phoebe Cates,"['Gremlins 2: The New Batch', 'Father of the Bride']"
2408,Richard Tucker,"['Wings', 'Flash Gordon']"
2409,Ray McAnally,"['The Mission', 'My Left Foot']"
2410,Dylan Baker,"['Happiness', 'Kinsey', 'Hide and Seek']"
2411,Melanie Lynskey,"[""But I'm a Cheerleader"", 'Sweet Home Alabama', 'Detroit Rock City']"
2412,Joji Yanami,"['Clash!! 10,000,000,000 Powerful Warriors', 'Rebirth of Fusion!! Goku and Vegeta!!', 'A Lonesome, Final Battle: The Father of Z-Warrior Son Goku, who Challenged Freeza', 'Dead Zone', 'Burn Up!! A Close, Intense, Super-Fierce Battle']"
2413,Alice Roberts,"[""Pandora's Box""]"
2414,Charlie Sheen,"['Platoon', 'Hot Shots!', ""Ferris Bueller's Day Off"", 'Hot Shots! Part Deux', 'Wall Street', 'The Big Bounce', 'Lucas', 'Major League']"
2415,Gaston Modot,"[""L'i\x82ge d'Or""]"
2416,Rachel Blanchard,"['Sugar & Spice', 'Road Trip']"
2417,Monica Keena,"['Man of the House', 'First Daughter']"
2418,James McAvoy,"['Children of Dune', 'Wimbledon']"
2419,Sam Neill,"['Dead Calm', 'Merlin', 'Wimbledon', 'Sirens', 'Perfect Strangers', 'Enigma', 'Event Horizon', 'The Jungle Book', 'Jurassic Park', 'Restoration']"
2420,Audrey Hepburn,"[""Breakfast at Tiffany's"", 'Sabrina', 'Always']"
2421,Ginger Rogers,"['Perfect Strangers', 'Top Hat', '42nd Street']"
2422,Vincent Cassel,"[""L'Appartement"", 'Elizabeth', 'Irreversible', ""Ocean's Twelve""]"
2423,Michael Bergin,"['The Broken Hearts Club: A Romantic Comedy', 'Baywatch: Hawaiian Wedding']"
2424,Gwen Verdon,"['Alice', ""Marvin's Room"", 'The Cotton Club', 'Cocoon: The Return', 'Cocoon']"
2425,James Darren,"['Diamond Head', 'Gidget']"
2426,Joan Allen,"['Manhunter', 'The Crucible', 'The Contender', 'The Bourne Supremacy', 'Nixon', 'Tucker: The Man and His Dream']"
2427,Ed O'Neill,"['K-9', ""Wayne's World"", ""Wayne's World 2""]"
2428,Chris Farley,"[""Wayne's World"", 'Dirty Work', 'Black Sheep', ""Wayne's World 2""]"
2429,Henry Fonda,"['The Longest Day', 'Warlock', ""In Harm's Way"", 'Battle of the Bulge', 'How the West Was Won', 'Young Mr. Lincoln', 'Yours, Mine and Ours', 'The Best Man', 'Midway', 'Fail-Safe', 'Jezebel']"
2430,Matheus Nachtergaele,"['Central do Brasil', 'City of God', 'Que i\x89 Isso, Companheiro?']"
2431,Antonio Banderas,"['Ballistic: Ecks vs. Sever', 'Imagining Argentina', 'Â¡i\x81tame!', 'Desperado', 'Original Sin', 'The House of the Spirits', 'Philadelphia']"
2432,W. Earl Brown,"[""There's Something About Mary"", 'Scream']"
2433,Hedy Lamarr,"['Ecstasy', 'Tortilla Flat', 'Algiers', 'Samson and Delilah']"
2434,H. B. Warner,"['A Tale of Two Cities', 'Lost Horizon', 'King of Kings']"
2435,Adrienne-Joi Johnson,"['Baby Boy', 'House Party']"
2436,Debra Paget,"['The Ten Commandments', 'Broken Arrow', 'Les Miserables', 'Love Me Tender']"
2437,Mae Questel,"[""National Lampoon's Christmas Vacation"", 'Snow White']"
2438,Mary Kay Bergman,"['South Park: Bigger, Longer & Uncut', 'Beauty and the Beast']"
2439,Michiyo Aratama,"['The Human Condition', 'Kwaidan']"
2440,Tom Green,"['Road Trip', ""Charlie's Angels""]"
2441,Bebe Neuwirth,"['Tadpole', 'The Adventures of Pinocchio', 'The Big Bounce']"
2442,Susumu Terajima,"['After Life', 'Distance', 'Brother']"
2443,Janet Munro,"['Swiss Family Robinson', ""Darby O'Gill and the Little People""]"
2444,John Huston,"['Chinatown', 'The Hobbit', 'Candy', 'The Return of the King', 'The Black Cauldron']"
2445,Stephen Root,"['Dodgeball: A True Underdog Story', 'O Brother, Where Art Thou?']"
2446,James Cagney,"['Ragtime', 'Love Me or Leave Me', 'One, Two, Three', ""Dead Men Don't Wear Plaid""]"
2447,Mary McDonnell,"['Sneakers', 'Independence Day']"
2448,J. Carrol Naish,"['Joan of Arc', 'Sahara']"
2449,John C. McGinley,"['Platoon', 'Identity', 'Point Break', 'Wall Street', 'The Rock']"
2450,Kurt Russell,"['Tombstone', 'Stargate', 'Tequila Sunrise', 'Backdraft', ""John Carpenter's Escape from L.A."", 'The Fox and the Hound', ""John Carpenter's The Thing"", 'Soldier', 'Miracle']"
2451,Stephen Dorff,"['Cecil B. Demented', 'Judgment Night', 'The Gate', 'Blade', 'Alone in the Dark']"
2452,Fisher Stevens,"['Hackers', 'Short Circuit', 'Super Mario Bros.']"
2453,Richard Burton,"['The Longest Day', '1984', 'Exorcist II: The Heretic', 'My Cousin Rachel', 'Candy']"
2454,Michael Gough,"['Dracula', 'Sleepy Hollow', 'Top Secret!', 'Batman & Robin', 'Batman']"
2455,Susan Strasberg,"['The Trip', 'Picnic']"
2456,Klaus Maria Brandauer,"['Out of Africa', ""Everyman's Feast"", 'White Fang']"
2457,Edward Woodward,"['Breaker Morant', 'King David']"
2458,Barry Corbin,"['Curdled', ""Who's Harry Crumb?""]"
2459,Deborah Kara Unger,"['White Noise', 'The Hurricane']"
2460,Nick Brimble,"[""A Knight's Tale"", 'Robin Hood: Prince of Thieves']"
2461,Richard T. Jones,"['Phone Booth', 'Where the Heart Is', 'Event Horizon']"
2462,Katsumi Tezuka,"['Godzilla', 'Ghidorah, the Three-Headed Monster']"
2463,Ryan Reynolds,"['Blade: Trinity', ""National Lampoon's Van Wilder""]"
2464,Everett McGill,"['Under Siege 2: Dark Territory', 'Dune']"
2465,Cheryl Ladd,"['Poison Ivy', 'Millennium']"
2466,Aunjanue Ellis,"['Ray', 'Freedomland']"
2467,Melanie Griffith,"['Something Wild', 'Cecil B. Demented', 'Celebrity', 'Body Double', ""Nobody's Fool""]"
2468,Jeremy Piven,"['Cars', 'Singles', 'Old School', 'Judgment Night', 'Serendipity', 'Lucas', 'PCU']"
2469,Dana Carvey,"[""Wayne's World"", ""Wayne's World 2""]"
2470,Rachel True,"['The Craft', 'Nowhere', 'Groove']"
2471,Kevin J. Anderson,"['Liebestraum', 'Sleeping with the Enemy']"
2472,Jaime King,"['Sin City', 'Pearl Harbor', 'Blow']"
2473,Mika Boorem,"['Sleepover', 'Dirty Dancing']"
2474,Tom Skerritt,"['Aftershock: Earthquake in New York', 'Top Gun', 'Singles', 'MASH', 'Contact', 'The Dead Zone', 'Poison Ivy']"
2475,Adam West,"['Hooper', 'Batman', 'BAADASSSSS!', 'Chicken Little']"
2476,Catherine O'Hara,"[""Lemony Snicket's A Series of Unfortunate Events"", 'After Hours', 'Orange County', 'Chicken Little', 'Home Fries', 'Home Alone 2: Lost in New York']"
2477,Patrick Stewart,"['Star Trek: Generations', 'X-Men', 'Hedda', 'Excalibur', 'Conspiracy Theory', 'Lady Jane', 'Robin Hood: Men in Tights', 'Dune', 'Star Trek: First Contact', 'Chicken Little', 'Jimmy Neutron: Boy Genius', 'Lifeforce', 'X2', 'Star Trek Nemesis', 'Star Trek: Insurrection']"
2478,Miranda Otto,"['Human Nature', 'The Lord of the Rings: The Two Towers', ""In My Father's Den"", 'War of the Worlds', 'The Lord of the Rings: The Return of the King']"
2479,Sunshine Parker,"['Tremors', 'Road House']"
2480,Jeremy Irons,"['The Mission', 'Eragon', 'M. Butterfly', '""From Time to Time""/""De Temps en Temps""', 'Kingdom of Heaven', 'Dungeons & Dragons', 'The House of the Spirits', 'Dead Ringers', 'Die Hard: With a Vengeance']"
2481,Lee J. Cobb,"[""Mackenna's Gold"", 'The Song of Bernadette', 'The Exorcist', 'How the West Was Won', 'Exodus', 'The Brothers Karamazov', 'The Luck of the Irish']"
2482,Anthony Quayle,"['Lawrence of Arabia', 'Buster', 'The Battle of the River Plate', 'Hamlet', 'Oh... Rosalinda!!']"
2483,Richard Crenna,"['The Sand Pebbles', 'Sabrina', 'Hot Shots! Part Deux', 'Rambo: First Blood Part II']"
2484,Mindy Sterling,"['Austin Powers: Goldmember', 'Austin Powers: International Man of Mystery', 'Austin Powers:The Spy Who Shagged Me']"
2485,James Remar,"['Blade: Trinity', 'Mortal Kombat: Annihilation', 'Blink', 'The Cotton Club', 'Ratatouille', 'The Clan of the Cave Bear']"
2486,Jon Voight,"['Ali', 'The Rainmaker', 'National Treasure', 'Heat', 'Runaway Train', 'Enemy of the State', 'Lara Croft: Tomb Raider', 'SuperBabies: Baby Geniuses 2', 'Mission: Impossible', 'Pearl Harbor', 'The Manchurian Candidate', 'Anaconda']"
2487,Judge Reinhold,"['Stripes', ""Beethoven's 4th"", 'Puss in Boots', ""Beethoven's 3rd""]"
2488,P. J. Soles,"['Sweet Dreams', ""Rock 'n' Roll High School"", 'Halloween', 'Stripes']"
2489,Sherilyn Fenn,"['Of Mice and Men', 'Wild at Heart']"
2490,Donna Mills,"['Knots Landing: Back to the Cul-de-Sac', 'Alice in Wonderland']"
2491,Johnny Depp,"['Platoon', ""What's Eating Gilbert Grape"", 'Blow', 'Ed Wood', 'Sleepy Hollow', 'Pirates of the Caribbean: The Curse of the Black Pearl', ""Pirates of the Caribbean: Dead Man's Chest"", 'Charlie and the Chocolate Factory', 'Benny & Joon']"
2492,Steve McQueen,"['The Getaway', 'The Sand Pebbles', 'Papillon']"
2493,Philip Stone,"['The Shining', 'The Lord of the Rings']"
2494,George Gaynes,"['Police Academy 2: Their First Assignment', 'Police Academy', ""Dead Men Don't Wear Plaid""]"
2495,Leslie Nielsen,"['The Poseidon Adventure', 'Airplane!', 'Dracula: Dead and Loving It', 'The Naked Gun 2 1/2: The Smell of Fear']"
2496,Martin Donovan,"['Spanish Fly', 'Saved!']"
2497,Judy Geeson,"['To Sir, with Love', 'Spanish Fly']"
2498,Keith David,"['Barbershop', 'Platoon', 'Where the Heart Is', 'Hercules', 'Volcano', 'The Chronicles of Riddick: Dark Fury', 'Armageddon', 'Final Fantasy: The Spirits Within', ""There's Something About Mary"", ""John Carpenter's The Thing""]"
2499,Ian McShane,"['Battle of Britain', ""A Bug's Life"", 'The Golden Compass', 'Jesus of Nazareth']"
2500,Cate Blanchett,"['The Talented Mr. Ripley', 'Elizabeth: The Golden Age', 'Veronica Guerin', 'The Lord of the Rings: The Fellowship of the Ring', 'Elizabeth', 'The Gift', 'The Lord of the Rings: The Two Towers', 'Heaven', 'The Lord of the Rings: The Return of the King']"
2501,Rowan Atkinson,"['Rat Race', 'Scooby-Doo', 'Hot Shots! Part Deux', 'Blackadder: Back & Forth']"
2502,Lindsay Crouse,"['The Insider', 'Slap Shot']"
2503,Sean Patrick Thomas,"['Barbershop 2: Back in Business', 'Barbershop', ""Can't Hardly Wait""]"
2504,Oscar Beregi Sr.,['Das Testament des Dr. Mabuse']
2505,Gary Raymond,"['El Cid', 'Jason and the Argonauts']"
2506,Karen Duffy,"['Blank Check', 'Dumb & Dumber']"
2507,Chang Chen,"['2046', 'Happy Together']"
2508,Charlize Theron,"['That Thing You Do!', ""The Devil's Advocate"", 'Monster', 'Celebrity']"
2509,Marina Sirtis,"['Star Trek: First Contact', 'Star Trek Nemesis', 'Star Trek: Insurrection']"
2510,Jean Peters,"['Three Coins in the Fountain', 'Viva Zapata!']"
2511,Peter Lorre,"['Beat the Devil', 'Arsenic and Old Lace', 'Casablanca', 'The Face Behind the Mask', 'The Raven', 'M', 'Around the World in Eighty Days']"
2512,Yves Montand,"['Z', 'Grand Prix']"
2513,Kenneth Tsang,"['The Killer', 'Once a Thief']"
2514,Fred Draper,['Faces']
2515,Costas Mandylor,"['The Pledge', 'Exiled: A Law & Order Movie']"
2516,Mako,"['Rugrats in Paris: The Movie', 'Testament', 'The Sand Pebbles', 'Pearl Harbor', 'Tucker: The Man and His Dream']"
2517,Brian Dennehy,"['F/X', 'Romeo + Juliet', 'Assault on Precinct 13', 'Category 6: Day of Destruction', 'Ratatouille', 'Presumed Innocent', 'Cocoon']"
2518,Romy Schneider,"[""Bocaccio '70"", ""What's New Pussycat?""]"
2519,Tom Wood,"[""Ulee's Gold""]"
2520,Othon Bastos,"['Que i\x89 Isso, Companheiro?']"
2521,Dennis Farina,"['Manhunter', 'Paparazzi', 'Snatch']"
2522,Richard Lewis,"['Once Upon a Crime...', 'Robin Hood: Men in Tights']"
2523,Temuera Morrison,"['Speed 2: Cruise Control', 'Star Wars Episode III: Revenge of the Sith', 'Star Wars Episode V: The Empire Strikes Back']"
2524,Maury Chaykin,"['Twins', 'Entrapment', ""Beethoven's 2nd"", 'Mr. Destiny', 'Millennium', 'Hero']"
2525,Dylan Walsh,"[""Nobody's Fool"", 'Congo']"
2526,Georges Corraface,"['Impromptu', ""John Carpenter's Escape from L.A.""]"
2527,Anthony Anderson,"['Me, Myself & Irene', 'Agent Cody Banks 2: Destination London', ""Big Momma's House"", 'Barbershop']"
2528,Paulo Costanzo,"['Josie and the Pussycats', 'Road Trip']"
2529,Ashley Judd,"['Kiss the Girls', 'Where the Heart Is', 'Someone Like You', 'Heat', 'Twisted', 'Double Jeopardy']"
2530,Karl Urban,"['The Price of Milk', 'Ghost Ship', 'The Bourne Supremacy', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Return of the King', 'Doom']"
2531,Eddie Murphy,"['Dr. Dolittle 2', 'The Haunted Mansion']"
2532,J.E. Freeman,"[""Miller's Crossing"", 'Alien: Resurrection', 'Wild at Heart']"
2533,Drew Carey,"['Chicken Little', 'Robots']"
2534,Kitty Winn,"['The Exorcist', 'Exorcist II: The Heretic']"
2535,Sidney Poitier,"['Sneakers', 'To Sir, with Love', ""Guess Who's Coming to Dinner""]"
2536,David Tomlinson,"['Miranda', 'Mary Poppins', 'The Fiendish Plot of Dr. Fu Manchu']"
2537,Patricia Neal,"[""Breakfast at Tiffany's"", 'Hud', ""In Harm's Way""]"
2538,Andrew Tiernan,['Edward II']
2539,Debi Mazar,"[""Beethoven's 2nd"", 'Nowhere', 'Toys', 'Collateral']"
2540,Chris Tucker,"['Rush Hour', 'Jackie Brown', 'Friday']"
2541,Dennis Haysbert,"['Love Field', 'Mr. Baseball', 'Heat', 'Major League']"
2542,"Antonio Sabi to, Jr.","['High Voltage', 'Longshot']"
2543,Lloyd Nolan,"['Earthquake', 'Peyton Place']"
2544,Steve Staley,"['Final Fantasy VII: Advent Children', 'Pokamon: Lucario and the Mystery of Mew']"
2545,Michael Jeter,"['The Green Mile', 'The Fisher King', 'The Gift']"
2546,Rekha Ganesan,"['Kama Sutra: A Tale of Love', 'Silsila']"
2547,Joaquim de Almeida,"['Desperado', 'Behind Enemy Lines']"
2548,David Warner,"['Star Trek V: The Final Frontier', 'Time After Time', 'Tron', 'Titanic', 'Morgan: A Suitable Case for Treatment', 'Wing Commander', 'Star Trek VI: The Undiscovered Country', 'Planet of the Apes']"
2549,Kevin McDonald,"['Stitch! The Movie', 'Lilo & Stitch']"
2550,Jeremy Davies,"['Secretary', 'Twister']"
2551,Tino Insana,['Tom and Jerry: The Movie']
2552,Kate Mulgrew,"['Star Trek Nemesis', 'Remo Williams: The Adventure Begins']"
2553,Olivia Hussey,"['It', 'Lost Horizon', 'Jesus of Nazareth', 'Romeo and Juliet']"
2554,Kim Novak,"['Liebestraum', 'Vertigo', 'Picnic', ""Boys' Night Out""]"
2555,Kirstie Alley,"[""Look Who's Talking"", 'Star Trek II: The Wrath of Khan', 'Summer School', ""Look Who's Talking Too"", 'Madhouse']"
2556,Miles Malleson,"[""I'm All Right Jack"", ""Private's Progress"", 'Peeping Tom']"
2557,Eric Blore,"[""Sullivan's Travels"", 'Top Hat']"
2558,Akira Terao,"['Dreams', 'Ran']"
2559,Paul Hampton,"['Shivers', 'Babylon 5: The Gathering']"
2560,Thomas Kretschmann,"['Immortel', 'Downfall', 'Resident Evil: Apocalypse', 'Stalingrad', 'U-571', 'King Kong']"
2561,Seann William Scott,"['Evolution', 'Road Trip', 'The Dukes of Hazzard', ""Dude, Where's My Car?""]"
2562,Michael Sheen,"['Underworld', 'Underworld: Evolution', 'Wilde', 'Kingdom of Heaven', 'Timeline']"
2563,Verne Troyer,"['Austin Powers: Goldmember', 'Austin Powers:The Spy Who Shagged Me']"
2564,Jonathan Rhys-Meyers,"['Vanity Fair', 'Michael Collins', 'Alexander', 'Titus']"
2565,John Wood,"['Sabrina', 'Orlando', 'Richard III']"
2566,George Wallace,['The Wash']
2567,Spalding Gray,"['Beaches', 'Kate & Leopold', ""Gray's Anatomy"", 'King of the Hill', 'True Stories']"
2568,Drew Bundini Brown,"[""Shaft's Big Score""]"
2569,Robert Morley,"['Alice in Wonderland', 'Beat the Devil', 'Topkapi']"
2570,Gregory Peck,"[""Mackenna's Gold"", 'The Yearling', 'Spellbound', ""Twelve O'Clock High"", 'How the West Was Won', 'Captain Newman, M.D.', 'The Boys from Brazil', 'Cape Fear', ""Gentleman's Agreement""]"
2571,Fred Savage,"['Austin Powers: Goldmember', 'The Princess Bride', 'The Rules of Attraction', 'The Wizard']"
2572,Dan O'Herlihy,"['Halloween III: Season of the Witch', 'The Adventures of Robinson Crusoe', 'Waterloo', 'The Dead', 'Fail-Safe']"
2573,Martin Short,"['Jimmy Neutron: Boy Genius', 'Â¡Three Amigos!', 'Merlin', 'Father of the Bride']"
2574,Marilyn Lightstone,['Heavy Metal']
2575,Jerry O'Connell,"['Tomcats', 'Stand by Me']"
2576,Nick Stahl,"['Sin City', 'Terminator 3: Rise of the Machines', 'Bully', 'The Thin Red Line']"
2577,Pamela Tiffin,"['One, Two, Three', 'State Fair']"
2578,Christopher Castile,"[""Beethoven's 2nd"", 'Beethoven']"
2579,Joel McCrea,"['Foreign Correspondent', ""Sullivan's Travels"", 'Come and Get It']"
2580,Timothy Daly,"['Diner', 'Basic']"
2581,Madonna,"['Swept Away', 'Dick Tracy', 'Vision Quest', ""Who's That Girl?""]"
2582,Walter Connolly,"['The Good Earth', 'Twentieth Century']"
2583,Heydon Prowse,['The Secret Garden']
2584,Milton Berle,"[""Pee-wee's Big Adventure"", ""It's a Mad, Mad, Mad, Mad World""]"
2585,Jane Krakowski,"['Vacation', 'Go', 'Alfie']"
2586,May Whitty,"['Suspicion', 'The Lady Vanishes']"
2587,Marcel Dalio,"['Grand Illusion', 'Pillow Talk']"
2588,Takeshi Kusao,"['Burn Up!! A Close, Intense, Super-Fierce Battle', 'Rebirth of Fusion!! Goku and Vegeta!!']"
2589,Brandon DiCamillo,"['CKY', 'Jackass: The Movie']"
2590,Rock Hudson,"['Tobruk', 'Ice Station Zebra', 'Giant', 'Pillow Talk']"
2591,Enrico Colantoni,"['A.I.', 'The First $20 Million Is Always the Hardest']"
2592,Lester Matthews,"['The Adventures of Robin Hood', 'The Pied Piper']"
2593,Lothaire Bluteau,"['Bent', 'Orlando']"
2594,R. Lee Ermey,"['Man of the House', 'Willard']"
2595,Kal Penn,"[""National Lampoon's Van Wilder"", 'Harold & Kumar Go to White Castle']"
2596,Francesca Neri,"['Collateral Damage', 'Hannibal']"
2597,William Hickey,"[""National Lampoon's Christmas Vacation"", 'Jerky Boys: The Movie', 'My Blue Heaven', 'Puppet Master', 'Happy Birthday, Wanda June', ""Prizzi's Honor""]"
2598,Paulette Goddard,"['Modern Times', 'So Proudly We Hail!']"
2599,Ann Harding,"['Holiday', 'Condemned']"
2600,James Rebhorn,"['Blank Check', 'The Talented Mr. Ripley', ""Cat's Eye""]"
2601,Buddy Hackett,"['The Little Mermaid II: Return to the Sea', 'The Little Mermaid', ""It's a Mad, Mad, Mad, Mad World""]"
2602,Stanley Baker,"['The Cruel Sea', 'Accident', 'Zulu', 'Richard III']"
2603,Tommy Davidson,"['Booty Call', 'Ace Ventura: When Nature Calls']"
2604,Brian Van Holt,"['Man of the House', 'Basic']"
2605,"Lon Chaney, Sr.","['London After Midnight', 'The Phantom of the Opera']"
2606,Kevin J. O'Connor,"['Hero', 'The Mummy']"
2607,Jayne Atkinson,"['Blank Check', 'Free Willy 2: The Adventure Home', 'The Village']"
2608,Clint Eastwood,"[""Kelly's Heroes"", 'The Enforcer', 'Firefox']"
2609,Raymond Massey,"['East of Eden', 'The Hurricane', 'How the West Was Won', 'Possessed', 'Abe Lincoln in Illinois', 'Arsenic and Old Lace']"
2610,Amanda Donohoe,"['Circus', 'Castaway']"
2611,Mark Addy,"['The Order', ""A Knight's Tale""]"
2612,Billy Connolly,"[""Lemony Snicket's A Series of Unfortunate Events"", 'Timeline']"
2613,Albert Finney,"['Scrooge', ""Miller's Crossing"", 'Tom Jones', 'Erin Brockovich']"
2614,Bob Hoskins,"['Beyond the Sea', 'Mona Lisa', 'Hook', 'Mermaids', 'Super Mario Bros.', 'Balto', 'The Cotton Club', 'Vanity Fair', 'Nixon', 'Brazil']"
2615,Dana Ivey,"['Dirty Rotten Scoundrels', 'Legally Blonde 2: Red, White & Blonde']"
2616,Marlon Brando,"[""Hearts of Darkness: A Filmmakers's Apocalypse"", 'The Score', 'Candy', 'Viva Zapata!', 'Superman']"
2617,Brian Doyle-Murray,"['JFK', 'Groundhog Day']"
2618,Madeline Kahn,"[""What's Up, Doc?"", 'Clue', 'Nixon', 'Paper Moon', ""A Bug's Life""]"
2619,Lee Tergesen,"['Monster', 'Shaft', 'Point Break']"
2620,Charles Bickford,"['Of Mice and Men', 'The Song of Bernadette', ""The Farmer's Daughter"", 'Days of Wine and Roses']"
2621,Barnard Hughes,"['Tron', 'Sister Act 2: Back in the Habit']"
2622,Bill Irwin,"['My Blue Heaven', 'Popeye', 'Hot Shots!']"
2623,Shahrukh Khan,"['Asoka', 'Dilwale Dulhaniy Le Jayenge', 'Khabi Khushi Kabhi Gham']"
2624,Michelle Rodriguez,"['Resident Evil', 'S.W.A.T.', 'The Fast and the Furious']"
2625,Steven Weber,"['The Shining', 'Dracula: Dead and Loving It']"
2626,Terry,"['Bright Eyes', 'The Wizard of Oz']"
2627,Jim Brown,"[""I'm Gonna Git You Sucka"", '...tick...tick...tick...', 'Ice Station Zebra']"
2628,Buck Henry,"['Heaven Can Wait', 'Candy']"
2629,Ed Gilbert,['Tom and Jerry: The Movie']
2630,Miriam Flynn,"[""National Lampoon's Christmas Vacation"", 'Vacation', 'Babe']"
2631,Peter Cook,"['Bedazzled', 'The Princess Bride']"
2632,Adriana Caselotti,"['Snow White and the Seven Dwarfs', 'The Wizard of Oz']"
2633,John Mahoney,"['Frantic', 'The American President', 'Primal Fear', ""Atlantis: Milo's Return"", 'The Broken Hearts Club: A Romantic Comedy', 'Atlantis: The Lost Empire']"
